"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Keystroke","""",,"77","1699419404708","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","p",,"71","1699419403226","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"72","1699419403431","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"73","1699419403515","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"74","1699419403622","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"75","1699419403719","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","""",,"77","1699419404708","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit","|","","77","1699419407457","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"78","1699419407459","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit","_","","78","1699419409415","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"79","1699419409417","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","79","1699419409579","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"80","1699419409581","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","80","1699419409767","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"81","1699419409769","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","|",,"78","1699419407459","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke","_",,"79","1699419409417","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"80","1699419409581","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"81","1699419409769","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","|",,"78","1699419407459","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke","_",,"79","1699419409417","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"80","1699419409581","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"81","1699419409769","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","|",,"82","1699419411739","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"83","1699419412579","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"84","1699419413331","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"85","1699419413806","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit","|","","81","1699419411737","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"82","1699419411739","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","82","1699419412578","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"83","1699419412579","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","82","1699419413330","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"84","1699419413331","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","84","1699419413805","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"85","1699419413806","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Action","Delete",,,"1699419414669","main.py","1.1.5 for 2021-2022 @t1",,"Delete",,,,,
"File.Edit","","""","85","1699419414670","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Keystroke","|",,"82","1699419411739","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"83","1699419412579","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"84","1699419413331","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"85","1699419413806","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Action","Backspace",,,"1699419415549","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","|","84","1699419415551","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","""","","84","1699419416514","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"85","1699419416516","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Action","Left",,,"1699419417409","main.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"X-Keystroke","""",,"85","1699419416516","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","|",,"85","1699419418837","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke","""",,"85","1699419416516","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","|",,"85","1699419418837","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit","|","","84","1699419418836","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"85","1699419418837","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Action","Backspace",,,"1699419419780","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","|","84","1699419419781","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419419954","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","82","1699419419956","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","|","","83","1699419420744","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"84","1699419420745","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","84","1699419421362","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"85","1699419421363","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","84","1699419421561","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"86","1699419421562","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","86","1699419421751","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"87","1699419421751","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"84","1699419420745","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"85","1699419421363","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"86","1699419421562","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"87","1699419421751","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"88","1699419422381","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"89","1699419422840","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"90","1699419423693","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke","|",,"84","1699419420745","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"85","1699419421363","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"86","1699419421562","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"87","1699419421751","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"88","1699419422381","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"89","1699419422840","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"90","1699419423693","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit","|","","87","1699419422380","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"88","1699419422381","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","88","1699419422839","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"89","1699419422840","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","89","1699419423692","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"90","1699419423693","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","90","1699419424101","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"91","1699419424102","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","90","1699419424903","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"92","1699419424904","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","92","1699419425090","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"93","1699419425091","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"91","1699419424102","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"92","1699419424904","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"93","1699419425091","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"94","1699419425483","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"95","1699419425946","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"96","1699419426681","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"97","1699419426965","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","93","1699419425482","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"94","1699419425483","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","94","1699419425945","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"95","1699419425946","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","95","1699419426680","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"96","1699419426681","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","96","1699419426964","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"97","1699419426965","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","96","1699419427263","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"98","1699419427264","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","98","1699419427446","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"99","1699419427448","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","99","1699419428117","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"100","1699419428118","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"98","1699419427263","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"99","1699419427448","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"100","1699419428118","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"91","1699419424102","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"92","1699419424904","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"93","1699419425091","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"94","1699419425483","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"95","1699419425946","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"96","1699419426681","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"97","1699419426965","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"98","1699419427264","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"99","1699419427448","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"100","1699419428118","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Action","Backspace",,,"1699419432511","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","_","54","1699419432514","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Keystroke"," ",,"100","1699419439225","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"101","1699419440994","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"102","1699419441580","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"103","1699419442206","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","99","1699419439225","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"100","1699419439225","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","100","1699419440993","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"101","1699419440994","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","101","1699419441580","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"102","1699419441580","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","101","1699419442205","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"103","1699419442206","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"100","1699419439225","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"101","1699419440994","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"102","1699419441580","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"103","1699419442206","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"104","1699419442835","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"105","1699419443619","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"106","1699419444474","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"107","1699419444882","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"108","1699419445447","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"104","1699419442835","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"105","1699419443619","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"106","1699419444474","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"107","1699419444882","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"108","1699419445447","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","103","1699419442834","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"104","1699419442835","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","104","1699419443618","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"105","1699419443619","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","105","1699419444473","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"106","1699419444474","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","105","1699419444881","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"107","1699419444882","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","107","1699419445446","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"108","1699419445447","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Action","Backspace",,,"1699419446589","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","|","107","1699419446591","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419446882","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","105","1699419446883","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","|","","106","1699419447794","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"107","1699419447796","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit","_","","107","1699419449280","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"108","1699419449281","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","108","1699419449449","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"109","1699419449450","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","|",,"107","1699419447796","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke","_",,"108","1699419449281","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"109","1699419449450","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"110","1699419449673","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","|",,"107","1699419447796","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke","_",,"108","1699419449281","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"109","1699419449450","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"110","1699419449673","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","109","1699419449672","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"110","1699419449673","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Action","Enter",,,"1699419453048","main.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","112","1699419453051","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","p","","113","1699419453619","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"114","1699419453620","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","114","1699419453801","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"115","1699419453815","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","115","1699419453942","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"116","1699419453954","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","116","1699419454062","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"117","1699419454071","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","117","1699419454166","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"118","1699419454173","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Action","Choose Lookup Item",,,"1699419454339","main.py","1.1.5 for 2021-2022 @t1",,"Choose Lookup Item",,,,,
"File.Edit","(","","118","1699419454351","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","119","1699419454352","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"114","1699419453620","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"115","1699419453815","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"116","1699419453954","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"117","1699419454071","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"118","1699419454173","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","""",,"120","1699419456400","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","p",,"114","1699419453620","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"115","1699419453815","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"116","1699419453954","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"117","1699419454071","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"118","1699419454173","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","""",,"120","1699419456400","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit","""","","119","1699419456398","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""","","120","1699419456400","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"120","1699419456400","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit","|","","120","1699419458347","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"121","1699419458349","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","121","1699419459208","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"122","1699419459210","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"121","1699419458349","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"122","1699419459210","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"123","1699419459673","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"124","1699419460058","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"125","1699419460650","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke","|",,"121","1699419458349","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"122","1699419459210","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"123","1699419459673","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"124","1699419460058","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"125","1699419460650","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","121","1699419459672","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"123","1699419459673","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","123","1699419460057","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"124","1699419460058","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","124","1699419460648","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"125","1699419460650","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","125","1699419461390","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"126","1699419461391","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","126","1699419462085","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"127","1699419462085","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","127","1699419462633","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"128","1699419462634","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"126","1699419461391","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"127","1699419462085","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"128","1699419462634","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"129","1699419462858","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"130","1699419463101","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"131","1699419463513","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"132","1699419463858","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"126","1699419461391","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"127","1699419462085","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"128","1699419462634","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"129","1699419462858","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"130","1699419463101","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"131","1699419463513","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"132","1699419463858","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","127","1699419462857","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"129","1699419462858","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","129","1699419463100","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"130","1699419463101","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","130","1699419463512","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"131","1699419463513","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","131","1699419463857","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"132","1699419463858","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","132","1699419464606","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"133","1699419464607","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","133","1699419464901","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"134","1699419464902","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","133","1699419465089","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"135","1699419465090","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","135","1699419465298","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"136","1699419465298","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","136","1699419465710","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
